# Time-averaged data for fix at2
# TimeStep f_mysf1[3] f_mysf2[3]
68300 11.3739 -9.86146
68400 12.0344 -12.935
68500 9.67774 -10.0136
68600 10.6079 -11.8119
68700 12.469 -10.6226
68800 8.49951 -8.74257
68900 13.2466 -11.975
69000 11.7406 -13.4392
69100 8.88897 -8.15519
69200 10.5061 -11.7814
69300 13.167 -11.0275
69400 10.2074 -10.5941
69500 11.9269 -10.5768
69600 9.62695 -13.0219
69700 10.7614 -9.3482
69800 11.1616 -11.6978
69900 13.6645 -10.8383
70000 7.83359 -10.5735
70100 10.7419 -11.4945
70200 11.8973 -12.2781
70300 11.0244 -8.87511
70400 10.6719 -11.0343
70500 11.6543 -11.7035
70600 10.0882 -10.767
70700 11.0849 -9.27981
70800 12.0295 -12.3565
70900 9.12465 -10.7623
71000 10.9437 -10.7782
71100 12.7744 -11.2848
71200 10.1716 -9.75171
71300 10.1508 -12.1437
71400 11.4018 -11.7864
71500 10.0588 -10.4648
71600 11.5498 -9.54663
71700 10.9588 -12.5235
71800 10.883 -10.5653
71900 11.4325 -10.0756
72000 12.1252 -11.2912
72100 8.14762 -11.0201
72200 11.8911 -10.8867
72300 11.8987 -11.1769
72400 9.73587 -10.014
72500 10.5961 -11.798
72600 11.9365 -10.6846
72700 9.93697 -10.4863
72800 10.7689 -11.4782
72900 11.0132 -10.6683
73000 10.9947 -10.434
73100 12.4589 -11.3749
73200 11.099 -10.6694
73300 9.70319 -11.0379
73400 10.8974 -11.6341
73500 12.0458 -10.8822
73600 10.0264 -10.4925
73700 10.3976 -11.2736
73800 11.0266 -9.83312
73900 10.6768 -10.4121
74000 11.3943 -12.9547
74100 9.76197 -10.0377
74200 9.99636 -9.09876
74300 12.3811 -12.177
74400 12.1774 -10.5942
74500 9.12185 -10.6036
74600 11.4854 -11.2752
74700 10.7311 -10.2268
74800 11.8009 -11.6184
74900 10.5706 -12.9471
75000 10.0515 -9.36972
75100 11.5538 -10.7811
75200 11.9905 -11.5998
75300 10.5151 -11.6542
75400 10.3887 -9.23105
75500 10.7121 -11.3322
75600 12.633 -11.3718
75700 9.90955 -10.6068
75800 11.0956 -10.9339
75900 9.6792 -10.5621
76000 11.4791 -10.7196
76100 11.7268 -12.664
76200 10.8466 -10.3262
76300 9.43478 -9.30993
76400 11.9017 -11.4782
76500 12.6363 -13.2687
76600 9.30108 -9.54432
76700 11.1103 -11.0566
76800 11.9907 -11.4793
76900 9.90771 -9.79957
77000 11.7255 -12.8464
77100 10.9564 -9.62478
77200 10.3722 -9.83588
77300 12.2997 -12.3139
77400 9.15899 -11.5349
77500 11.0484 -10.0096
77600 11.648 -10.5923
77700 11.3079 -11.6573
77800 9.82718 -10.6901
77900 11.7537 -11.4328
78000 10.399 -10.6963
78100 11.4232 -11.0547
78200 11.8167 -12.4297
78300 10.5313 -8.75775
78400 11.1473 -11.0035
78500 11.1164 -11.8051
78600 9.97878 -12.5808
78700 11.3434 -9.99096
78800 10.7587 -9.33302
78900 11.8876 -11.3999
79000 10.7367 -12.3779
79100 10.6116 -11.2773
79200 10.5965 -9.8267
79300 11.1883 -10.7561
79400 11.91 -11.2958
79500 11.1438 -10.8445
79600 10.045 -10.3938
79700 10.3836 -11.0386
79800 11.9492 -11.9587
79900 9.3798 -10.5893
80000 11.6798 -10.4593
80100 10.3667 -11.3598
80200 11.6035 -9.81006
80300 12.2391 -12.2508
80400 10.2987 -9.41684
80500 8.32492 -11.8369
80600 12.8242 -11.5737
80700 11.8047 -11.9271
80800 11.797 -7.65684
80900 9.98453 -12.5242
81000 10.9123 -12.0097
81100 8.90487 -10.3653
81200 13.7093 -11.4646
81300 9.68523 -11.2604
81400 10.0225 -8.18661
81500 13.006 -13.1353
81600 10.5356 -10.7775
81700 7.93435 -10.2097
81800 13.1086 -11.8996
81900 11.2992 -11.6106
82000 11.0986 -7.29618
82100 11.2954 -12.8784
82200 10.1986 -10.5964
82300 9.49938 -12.3088
82400 14.0604 -11.5069
82500 8.06002 -9.65728
82600 11.6986 -9.88277
82700 12.7569 -12.6803
82800 10.8111 -9.53839
82900 8.31109 -12.7948
83000 11.064 -10.6633
83100 11.2769 -9.91314
83200 12.6054 -10.1591
83300 9.4719 -11.9066
83400 10.7204 -9.91886
83500 10.9102 -11.4139
83600 11.9912 -10.4671
83700 9.41649 -12.6004
83800 11.6744 -10.2775
83900 11.2939 -9.37795
84000 12.7108 -11.1497
84100 9.11558 -12.4838
84200 9.41409 -10.1877
84300 12.2516 -12.4773
84400 10.9329 -9.97725
84500 11.159 -10.6646
84600 12.2171 -10.7623
84700 9.95273 -10.1654
84800 9.54438 -11.7867
84900 11.3839 -13.243
