# Time-averaged data for fix at1
# TimeStep v_pos
148500 30.5913
148600 30.5918
148700 30.5923
148800 30.5928
148900 30.5933
149000 30.5938
149100 30.5943
149200 30.5948
149300 30.5953
149400 30.5958
149500 30.5963
149600 30.5968
149700 30.5973
149800 30.5978
149900 30.5983
150000 30.5988
150100 30.5993
150200 30.5998
150300 30.6003
150400 30.6008
150500 30.6013
150600 30.6018
150700 30.6023
150800 30.6028
150900 30.6033
151000 30.6038
151100 30.6043
151200 30.6048
151300 30.6053
151400 30.6058
151500 30.6063
151600 30.6068
151700 30.6073
151800 30.6078
151900 30.6083
152000 30.6088
152100 30.6093
152200 30.6098
152300 30.6103
152400 30.6108
152500 30.6113
152600 30.6118
152700 30.6123
152800 30.6128
152900 30.6133
153000 30.6138
153100 30.6143
153200 30.6148
153300 30.6153
153400 30.6158
153500 30.6163
153600 30.6168
153700 30.6173
153800 30.6178
153900 30.6183
154000 30.6188
154100 30.6193
154200 30.6198
154300 30.6203
154400 30.6208
154500 30.6213
154600 30.6218
154700 30.6223
154800 30.6228
154900 30.6233
155000 30.6238
155100 30.6243
155200 30.6248
155300 30.6253
155400 30.6258
155500 30.6263
155600 30.6268
155700 30.6273
155800 30.6278
155900 30.6283
156000 30.6288
156100 30.6293
156200 30.6298
156300 30.6303
156400 30.6308
156500 30.6313
156600 30.6318
156700 30.6323
156800 30.6328
156900 30.6333
157000 30.6338
157100 30.6343
157200 30.6348
157300 30.6353
157400 30.6358
157500 30.6363
157600 30.6368
157700 30.6373
157800 30.6378
157900 30.6383
158000 30.6388
158100 30.6393
158200 30.6398
158300 30.6403
158400 30.6408
158500 30.6413
158600 30.6418
158700 30.6423
158800 30.6428
158900 30.6433
159000 30.6438
159100 30.6443
159200 30.6448
159300 30.6453
159400 30.6458
159500 30.6463
159600 30.6468
159700 30.6473
159800 30.6478
159900 30.6483
160000 30.6488
160100 30.6493
160200 30.6498
160300 30.6503
160400 30.6508
160500 30.6513
160600 30.6518
160700 30.6523
160800 30.6528
160900 30.6533
161000 30.6538
161100 30.6543
161200 30.6548
161300 30.6553
161400 30.6558
161500 30.6563
161600 30.6568
161700 30.6573
161800 30.6578
161900 30.6583
162000 30.6588
162100 30.6593
162200 30.6598
162300 30.6603
162400 30.6608
162500 30.6613
162600 30.6618
162700 30.6623
162800 30.6628
162900 30.6633
163000 30.6638
163100 30.6643
163200 30.6648
163300 30.6653
163400 30.6658
163500 30.6663
163600 30.6668
163700 30.6673
163800 30.6678
163900 30.6683
164000 30.6688
164100 30.6693
164200 30.6698
164300 30.6703
164400 30.6708
164500 30.6713
164600 30.6718
164700 30.6723
164800 30.6728
164900 30.6733
165000 30.6738
165100 30.6743
165200 30.6748
165300 30.6753
165400 30.6758
165500 30.6763
165600 30.6768
165700 30.6773
165800 30.6778
165900 30.6783
166000 30.6788
166100 30.6793
166200 30.6798
166300 30.6803
166400 30.6808
166500 30.6813
166600 30.6818
166700 30.6823
166800 30.6828
166900 30.6833
167000 30.6838
167100 30.6843
167200 30.6848
167300 30.6853
167400 30.6858
167500 30.6863
167600 30.6868
167700 30.6873
167800 30.6878
167900 30.6883
168000 30.6888
168100 30.6893
168200 30.6898
168300 30.6903
168400 30.6908
168500 30.6913
168600 30.6918
168700 30.6923
168800 30.6928
168900 30.6933
169000 30.6938
169100 30.6943
169200 30.6948
169300 30.6953
169400 30.6958
169500 30.6963
169600 30.6968
169700 30.6973
169800 30.6978
169900 30.6983
170000 30.6988
170100 30.6993
170200 30.6998
170300 30.7003
170400 30.7008
170500 30.7013
170600 30.7018
170700 30.7023
170800 30.7028
170900 30.7033
171000 30.7038
171100 30.7043
171200 30.7048
171300 30.7053
171400 30.7058
171500 30.7063
171600 30.7068
171700 30.7073
171800 30.7078
171900 30.7083
172000 30.7088
172100 30.7093
172200 30.7098
172300 30.7103
172400 30.7108
172500 30.7113
172600 30.7118
172700 30.7123
172800 30.7128
172900 30.7133
173000 30.7138
173100 30.7143
173200 30.7148
173300 30.7153
173400 30.7158
173500 30.7163
173600 30.7168
173700 30.7173
173800 30.7178
173900 30.7183
174000 30.7188
174100 30.7193
174200 30.7198
174300 30.7203
174400 30.7208
174500 30.7213
174600 30.7218
174700 30.7223
174800 30.7228
174900 30.7233
175000 30.7238
175100 30.7243
175200 30.7248
175300 30.7253
175400 30.7258
175500 30.7263
175600 30.7268
175700 30.7273
175800 30.7278
175900 30.7283
176000 30.7288
176100 30.7293
176200 30.7298
176300 30.7303
176400 30.7308
176500 30.7313
176600 30.7318
176700 30.7323
176800 30.7328
176900 30.7333
177000 30.7338
177100 30.7343
177200 30.7348
177300 30.7353
177400 30.7358
177500 30.7363
177600 30.7368
177700 30.7373
177800 30.7378
177900 30.7383
178000 30.7388
178100 30.7393
178200 30.7398
178300 30.7403
178400 30.7408
178500 30.7413
178600 30.7418
178700 30.7423
178800 30.7428
178900 30.7433
179000 30.7438
179100 30.7443
179200 30.7448
179300 30.7453
179400 30.7458
179500 30.7463
179600 30.7468
179700 30.7473
179800 30.7478
179900 30.7483
180000 30.7488
180100 30.7493
180200 30.7498
180300 30.7503
180400 30.7508
180500 30.7513
180600 30.7518
180700 30.7523
180800 30.7528
180900 30.7533
181000 30.7538
181100 30.7543
181200 30.7548
181300 30.7553
181400 30.7558
181500 30.7563
181600 30.7568
181700 30.7573
181800 30.7578
181900 30.7583
182000 30.7588
182100 30.7593
182200 30.7598
182300 30.7603
182400 30.7608
182500 30.7613
182600 30.7618
182700 30.7623
182800 30.7628
182900 30.7633
183000 30.7638
183100 30.7643
183200 30.7648
183300 30.7653
183400 30.7658
183500 30.7663
183600 30.7668
183700 30.7673
183800 30.7678
183900 30.7683
184000 30.7688
184100 30.7693
184200 30.7698
184300 30.7703
184400 30.7708
184500 30.7713
184600 30.7718
184700 30.7723
184800 30.7728
184900 30.7733
185000 30.7738
185100 30.7743
185200 30.7748
185300 30.7753
185400 30.7758
185500 30.7763
185600 30.7768
185700 30.7773
185800 30.7778
185900 30.7783
186000 30.7788
